#,claim_status,video_id,video_duration_sec,video_transcription_text,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,likes_per_view,comments_per_view,shares_per_view
25,claim,2736327047,39,someone shared with me that elephants will console each other during stressful situations,not verified,active,353722.0,39844.0,10399.0,181.0,54.0,0.11264213139131861,0.00015266226019303294,0.029398793402728697
26,claim,6792082620,33,someone shared with me that avocados never ripen while they are still attached to the tree,not verified,active,506061.0,288150.0,39351.0,2405.0,1134.0,0.5693977603490489,0.0022408365789894896,0.07775940054657443
27,claim,2385469584,10,someone shared with me that people are born with only 2 natural fears: the fear of falling and the fear of loud sounds,not verified,under review,50892.0,7976.0,2903.0,125.0,78.0,0.15672404307160262,0.0015326573921244989,0.05704236422227462
28,claim,6569363811,22,someone shared with me that sneezing while traveling at 60 mph makes you close your eyes for 50 feet,not verified,under review,812056.0,329068.0,3515.0,5200.0,1108.0,0.40522821086230504,0.0013644379205374998,0.004328519215423566
29,claim,6301836558,21,someone shared with me that people don’t sneeze in their sleep,not verified,active,677855.0,332569.0,97961.0,5531.0,2386.0,0.4906196752992897,0.00351992682800894,0.1445161575853243
30,claim,6854087993,48,"someone shared with me that at birth, baby pandas are smaller than mice",not verified,active,74323.0,20940.0,3678.0,274.0,63.0,0.28174320196978053,0.0008476514672443254,0.04948669994483538
31,claim,7568304116,55,someone shared with me that the microwave oven was an accidental invention,not verified,active,573518.0,324003.0,125931.0,4737.0,2918.0,0.5649395485407607,0.005087896107881532,0.2195763690067269
32,claim,7730527836,21,someone shared with me that a blue whale's heartbeat can be heard from two miles away,not verified,banned,376637.0,226700.0,69329.0,2060.0,278.0,0.6019058138207346,0.0007381112317695819,0.18407378988256598
33,claim,8304906458,23,someone shared with me that the longest location name on the planet earth is 85 letters in english.,not verified,active,781955.0,407367.0,65029.0,4274.0,2240.0,0.5209596460154357,0.0028646149714497636,0.08316207454393156
34,claim,7723647550,33,someone shared with me that the red-billed quelea is the most common bird on earth,not verified,active,822795.0,390001.0,125607.0,4012.0,2055.0,0.4739953451345718,0.002497584452992544,0.15265892476254717
35,claim,1260034177,10,"someone shared with me that in japan, its considered good luck when a sumo wrestler makes your baby cry",not verified,active,418750.0,133645.0,27821.0,2387.0,206.0,0.31915223880597016,0.0004919402985074627,0.06643820895522388
36,claim,5407291277,12,someone shared with me that bubble wrap was originally designed to be used as wallpaper,not verified,active,535825.0,73157.0,1642.0,1573.0,97.0,0.13653151681985723,0.0001810292539541828,0.003064433350440909
37,claim,6844920875,29,someone shared with me that humans have jumped further than horses in the olympics,not verified,active,924262.0,465230.0,37874.0,8124.0,635.0,0.5033529453769602,0.0006870346287091755,0.0409775583113879
38,claim,9171709060,30,someone shared with me that a one-armed player scored the winning goal in the first soccer tournament world cup in 1930,not verified,active,489267.0,110476.0,17911.0,2585.0,90.0,0.22579900136326383,0.00018394864153928222,0.03660782354011204
39,claim,2310167046,20,someone shared with me that jobs in the field of agriculture are the most prevalent types of jobs in the world,not verified,active,879368.0,572608.0,153090.0,5639.0,2542.0,0.6511585593289726,0.0028907124207385305,0.1740909380373177
40,claim,4040057402,20,someone shared with me that the eye of an ostrich is bigger than its brain,not verified,active,135682.0,50881.0,7713.0,944.0,324.0,0.3750018425435946,0.002387936498577556,0.056846154980026826
41,claim,7334026327,25,someone shared with me that the largest pair of eyes in the world belongs to the giant squid,not verified,under review,289935.0,3484.0,1092.0,20.0,3.0,0.012016486453860348,1.0347146774276993e-05,0.0037663614258368256
42,claim,5280794672,34,someone shared with me that buttermilk does not contain any butter,not verified,active,903941.0,409234.0,32446.0,8390.0,1390.0,0.4527220249994192,0.0015377109789245095,0.035893935555528514
43,claim,2869029922,46,someone shared with me that one strand of hair can hold up to 3 ounces of weight,not verified,active,704320.0,161850.0,19294.0,3077.0,566.0,0.22979611540208997,0.0008036119945479328,0.02739379827351204
44,claim,1421558858,5,someone shared with me that bottled water has an expiration date,not verified,under review,609453.0,262718.0,80347.0,826.0,99.0,0.43107179716893673,0.00016244074604604457,0.13183461234910648
45,claim,4477338445,31,someone shared with me that driving south from detroit will lead to canada,not verified,active,790372.0,24067.0,4167.0,434.0,236.0,0.030450218378181414,0.0002985935736589859,0.005272200938292349
46,claim,4479658983,34,someone shared with me that sea otters are born unable to swim,not verified,under review,750369.0,271101.0,65378.0,1482.0,426.0,0.3612902451993619,0.000567720681424739,0.0871277997891704
47,claim,9398305380,17,someone shared with me that apple seeds contain cyanide,not verified,under review,630556.0,67394.0,16130.0,1197.0,720.0,0.10688027708879148,0.0011418494154365353,0.02558059870971016
48,claim,2584492620,52,someone shared with me that alaska is the only u.s. state whose name can be typed on a single row on the american standard keyboard,not verified,active,853104.0,45589.0,16274.0,758.0,163.0,0.05343897109848272,0.0001910669742493295,0.019076220484255144
49,claim,6528249616,18,someone shared with me that up to 20% of power outages in the u.s. are due to squirrels chewing through the lines,not verified,active,636117.0,360722.0,12659.0,105.0,65.0,0.5670686367444983,0.00010218246014491045,0.019900427122683407
50,claim,6798355648,36,someone shared with me that the largest living thing on earth is a tree,not verified,active,658349.0,231224.0,89272.0,5131.0,1426.0,0.35121797101537333,0.002166024403469892,0.1355998110424714
51,claim,9161593537,17,someone shared with me that ketchup leaves the bottle at a measured speed of 25 miles per year,not verified,active,472376.0,210080.0,37155.0,4600.0,2697.0,0.4447304689484648,0.005709434856978339,0.07865556251799415
52,claim,1291361813,53,someone shared with me that the town of calama in chile has never experienced rain,not verified,active,984793.0,453657.0,15329.0,521.0,30.0,0.4606622914663285,3.0463254714442527e-05,0.015565707717256317
53,claim,6346301856,40,a friend shared with a friend that yellowstone national park is home to a supervolcano,not verified,active,301749.0,27047.0,1544.0,230.0,18.0,0.08963409986445689,5.9652227513595736e-05,0.005116835515610657
54,claim,8355089614,54,a friend shared with a friend that the largest rock on earth is in australia,not verified,active,971357.0,111164.0,13178.0,2338.0,779.0,0.11444196109154513,0.0008019708510877051,0.013566587773599202
55,claim,1767010474,29,a friend shared with a friend that the average british driver will spend around 99 days of their life stuck in traffic,not verified,active,302525.0,23738.0,673.0,314.0,118.0,0.07846624245930088,0.0003900504090571027,0.0022246095364019504
56,claim,6315458270,39,a friend shared with a friend that windshield wipers were invented in 1905,not verified,active,578064.0,269616.0,66922.0,6075.0,3321.0,0.46641202358216394,0.005745038611641618,0.11576918818677516
57,claim,5775227146,25,a friend shared with a friend that the origins of the banjo instrument begin in africa,not verified,active,205584.0,49255.0,5072.0,1186.0,223.0,0.23958576542921628,0.0010847147637948478,0.02467118063662542
58,claim,7667994370,12,a friend shared with a friend that an average user spends 40% of their day on the internet,not verified,active,422117.0,112780.0,26052.0,1038.0,380.0,0.26717710966390834,0.0009002243453829151,0.06171748591030449
59,claim,3024206043,49,a friend shared with a friend that half of retail purchases are now made through a mobile device,not verified,active,265598.0,59672.0,4952.0,815.0,400.0,0.2246703664937236,0.0015060354370138329,0.018644718710231253
60,claim,2931436974,13,a friend shared with a friend that the most watched summer olympics event for the past 20 years has been gymnastics,not verified,active,307222.0,13123.0,4689.0,130.0,63.0,0.04271503993854607,0.00020506343946722564,0.015262578851774938
61,claim,8774049123,34,a friend shared with a friend that badminton is the fastest ball and net sport in the world,not verified,active,962886.0,174445.0,10848.0,619.0,162.0,0.1811689026530659,0.00016824421582617256,0.01126613119310074
62,claim,1712882974,32,"a friend shared with a friend that starting in 1990, american basketball player michael jordan and the chicago bulls never had a three-game losing streak for eight years",not verified,banned,29060.0,1219.0,171.0,3.0,1.0,0.04194769442532691,3.441156228492774e-05,0.005884377150722643
63,claim,8610989068,56,a friend shared with a friend that a dog’s sense of smell is much more powerful than a human's,not verified,active,952372.0,10191.0,114.0,223.0,55.0,0.01070065058611551,5.775054285510284e-05,0.00011970112519057679
64,claim,8244180015,37,"a friend shared with a friend that a common garden snail has over 12,000 teeth",not verified,active,986657.0,537842.0,199478.0,4721.0,2891.0,0.5451154757935128,0.0029300962745918793,0.20217562942339637
65,claim,7043718296,44,a friend shared with a friend that koalas sleep up to 22 hours per day,not verified,active,561388.0,152488.0,26474.0,2668.0,291.0,0.2716267536890707,0.0005183580696416738,0.04715811524293358
66,claim,2833181639,30,a friend shared with a friend that some sharks can glow in the dark,not verified,under review,773587.0,279571.0,16917.0,3617.0,1331.0,0.3613956801238904,0.0017205563175182624,0.02186825786886284
67,claim,8560734678,26,a friend shared with a friend that it would take 258 earth days to drive around one of saturn’s rings at a speed of 75 mph,not verified,under review,71676.0,45324.0,6977.0,503.0,258.0,0.6323455549974887,0.003599531223840616,0.09734081142920922
68,claim,6496578100,55,a friend shared with a friend that sputnik was the first artificial satellite in space,not verified,banned,663764.0,113266.0,31512.0,2325.0,564.0,0.17064197515984597,0.0008496995920236711,0.047474704864982134
69,claim,3916624482,31,a friend shared with a friend that neptune radiates more heat than it gets from the sun,not verified,under review,170467.0,86546.0,19813.0,721.0,447.0,0.5076994374277719,0.002622208403972616,0.11622777429062517
70,claim,5342027952,5,a friend shared with a friend that a day on mars is about the same length as on earth,not verified,under review,988418.0,344391.0,78618.0,239.0,22.0,0.34842647543852906,2.2257789720543334e-05,0.07953922328407617
71,claim,7417954522,27,a friend shared with a friend that there’s a planet made of diamonds two times the size of earth,not verified,active,345192.0,63925.0,7783.0,99.0,57.0,0.1851867945954715,0.00016512549537648613,0.022546872465178797
72,claim,9903088754,43,a friend shared with a friend that there is a world championship for throwing mobile phones,not verified,active,755590.0,128952.0,25210.0,1750.0,498.0,0.17066398443600364,0.0006590876004182163,0.033364655434825766
73,claim,5423860831,48,a friend shared with a friend that avocados never ripen while they are still attached to the tree,not verified,under review,611144.0,46826.0,12186.0,503.0,44.0,0.07662024007435236,7.199612529943843e-05,0.01993965415679447
74,claim,3679640007,34,a friend shared with a friend that people are born with only 2 natural fears: the fear of falling and the fear of loud sounds,not verified,active,929654.0,616498.0,97225.0,588.0,176.0,0.6631477947709578,0.00018931774617223182,0.10458191972497295
75,claim,5979401954,7,a friend shared with a friend that humans can’t taste food without saliva,not verified,active,208229.0,115949.0,2253.0,2058.0,149.0,0.5568340624984992,0.0007155583516224926,0.010819818565137421
76,claim,2473723793,17,a friend shared with a friend that the eiffel tower leans away from the sun,not verified,banned,248398.0,139777.0,17309.0,1639.0,209.0,0.562713870482049,0.0008413916376138294,0.06968252562419987
77,claim,2342638585,31,a friend shared with a friend that only one-fourth of the sahara desert is sandy,verified,active,677288.0,214708.0,66446.0,2167.0,1428.0,0.317011374777052,0.0021084088305122783,0.0981059755967919
78,claim,7486721746,8,a friend shared with a friend that the french scrabble world champion winner doesn’t speak french,not verified,under review,726718.0,241278.0,28762.0,1233.0,87.0,0.3320104910020118,0.0001197163136182123,0.03957793807226462
79,claim,3780164260,13,a friend shared with a friend that a one-armed player scored the winning goal in the first soccer tournament world cup in 1930,not verified,under review,857998.0,468810.0,183219.0,5830.0,2431.0,0.5463998750579838,0.002833339937855333,0.2135424558099203
80,claim,8352128964,48,a friend shared with a friend that it is physically impossible for humans to keep their eyes open while sneezing,not verified,active,589041.0,144226.0,51973.0,3362.0,1597.0,0.24484883055678636,0.002711186487867568,0.08823324692169136
81,claim,1925338598,31,a friend shared with a friend that pineapples are named after pinecones,not verified,active,604898.0,288298.0,95777.0,3225.0,899.0,0.4766059732384633,0.0014862009793386653,0.15833578553739638
82,claim,3791068995,20,a friend shared with a friend that losing weight alters brain activity,not verified,under review,737901.0,205717.0,4645.0,666.0,12.0,0.278786720711857,1.6262344135595425e-05,0.0062948823758200625
83,claim,6404484639,56,a friend shared with a friend that your fingernails on your dominant hand grow faster,not verified,under review,680252.0,177711.0,1946.0,3223.0,9.0,0.26124289233989756,1.3230391090360631e-05,0.0028607045624268654
84,claim,1403965706,31,a friend shared with a friend that playing dance music helps ward off mosquitoes,not verified,under review,250243.0,45005.0,9872.0,705.0,240.0,0.17984519047485845,0.0009590677861118993,0.03944965493540279
85,claim,2675430150,28,a friend shared with a friend that mice typically only live for 6 months in the wild,not verified,active,5279.0,2670.0,16.0,12.0,7.0,0.5057776093957189,0.0013260087137715476,0.0030308770600492516
86,claim,8975962413,37,a friend shared with a friend that the dwarf planet pluto was named by an 11-year-old girl,not verified,active,364943.0,212815.0,6149.0,906.0,4.0,0.5831458611344785,1.0960615767393813e-05,0.016849206588426136
87,claim,4966288323,51,a friend shared with a friend that the insect population of the world is 1 billion times more than the world population,not verified,banned,865320.0,139937.0,49470.0,2574.0,1504.0,0.1617170526510424,0.0017380853325937226,0.05716960199694911
88,claim,4219642346,51,a friend shared with a friend that the human brain uses 20% of the body's oxygen,not verified,active,874793.0,306997.0,29763.0,5262.0,2006.0,0.35093673589066215,0.0022931139138058945,0.03402290599033143
89,claim,9716988521,24,a friend shared with a friend that you can fit about 400 grapevines in one acre of land,not verified,active,468077.0,194366.0,37758.0,4319.0,131.0,0.4152436458104115,0.0002798684831769132,0.08066621517399915
90,claim,5774531836,57,a friend shared with a friend that a pineapple plant can only produce one pineapple a year,not verified,active,539826.0,132637.0,16501.0,444.0,60.0,0.24570324511972377,0.00011114692512031654,0.030567256856839056
91,claim,6837955665,55,a friend shared with a friend that strawberries are the only known fruit to grow their seeds externally,not verified,active,309589.0,170284.0,54865.0,2735.0,754.0,0.5500324623936897,0.002435487048958458,0.1772188288343578
92,claim,5424962156,39,a friend mentioned someone discovered that nucelear fission is now being used to produce electricity,not verified,active,572084.0,93187.0,4911.0,1475.0,9.0,0.1628904146943456,1.5731955447102175e-05,0.008584403688968753
93,claim,8176623100,26,"a friend mentioned someone discovered that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",not verified,active,879769.0,107260.0,27447.0,2288.0,1257.0,0.12191836720775567,0.0014287841467476121,0.03119796219234822
94,claim,5559711920,37,a friend mentioned someone discovered that the rubik's cube is the best-selling product of all time,not verified,banned,436875.0,260329.0,41775.0,4663.0,1947.0,0.5958889842632332,0.004456652360515022,0.09562231759656652
95,claim,7401659041,43,a friend mentioned someone discovered that mobile phone use in india is nearly 100%,not verified,active,501354.0,248235.0,64155.0,3883.0,2110.0,0.4951291901530655,0.004208603102797624,0.12796347490994386
96,claim,6570169707,50,a friend mentioned someone discovered that the total number of multinational companies investing in green initiatives has increased by 35% since 2020,not verified,banned,168449.0,90690.0,16615.0,1962.0,383.0,0.5383825371477421,0.002273685210360406,0.0986351952222928
97,claim,1386456170,32,a friend mentioned someone discovered that the oldest playable musical instruments were found in china,not verified,banned,200060.0,106959.0,32426.0,2564.0,1500.0,0.5346346096171148,0.007497750674797561,0.1620813755873238
98,claim,4415434682,16,a friend mentioned someone discovered that the japanese word ‘karaoke’ comes from a phrase meaning ’empty orchestra’,not verified,under review,423164.0,186423.0,55246.0,2404.0,1430.0,0.4405455095423996,0.0033793044776965903,0.13055458403833975
99,claim,3490110525,57,a friend mentioned someone discovered that about half of the world's population can access the web via a mobile device,not verified,under review,182650.0,88712.0,28801.0,434.0,95.0,0.48569395017793593,0.0005201204489460717,0.15768409526416644
100,claim,8089681692,49,a friend mentioned someone discovered that an average user spends 40% of their day on the internet,not verified,active,195432.0,27339.0,3483.0,433.0,200.0,0.13989008964755004,0.0010233738589381473,0.017822055753407836
