ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
34,retained,126,101,346.3382111,2225,149,0,3666.356368,1446.018362,11,11,iPhone
35,retained,156,127,780.9466294,101,113,0,1944.771913,646.9535456,18,18,iPhone
36,retained,75,60,108.1659311,2329,223,36,2354.623612,809.7421876,4,1,Android
37,retained,16,14,103.8941155,443,0,5,8786.114497,7181.044427,19,19,Android
38,retained,95,78,190.9769901,1848,35,28,2314.364451,1317.170917,20,20,iPhone
39,retained,91,91,123.8217255,470,0,86,3423.421216,2355.455086,29,26,iPhone
40,retained,105,91,115.0010192,655,14,11,1822.449032,1197.962657,24,24,Android
41,retained,20,17,183.5959214,2601,325,15,3182.697466,1768.326087,23,16,iPhone
42,retained,165,132,309.913971,2567,293,76,4673.201532,2119.32992,20,17,Android
43,retained,133,106,182.484696,2595,185,52,4422.867487,2012.308708,8,2,Android
44,retained,26,22,132.0307891,921,272,7,632.1399703,420.7125087,30,24,Android
45,retained,25,25,63.26935458,1219,7,0,1187.584153,419.5127746,27,25,iPhone
46,churned,114,105,309.5828548,189,11,7,4285.245618,2322.605058,9,4,iPhone
47,churned,23,20,24.75851394,552,65,14,1564.220191,821.8420876,3,3,iPhone
48,churned,48,42,223.2527291,757,335,28,9947.593149,3369.145354,8,2,iPhone
49,retained,62,51,113.8218829,694,274,42,3826.387247,2916.712292,26,21,Android
50,retained,7,7,36.67792977,2794,274,18,1130.116953,723.0277468,8,8,iPhone
51,retained,67,57,76.46614419,1713,0,52,1620.545554,793.9297612,25,19,Android
52,retained,4,4,62.62085256,3291,65,0,4996.233445,1345.047896,28,23,iPhone
53,retained,84,68,123.517569,3286,74,145,1558.791847,1201.028705,17,15,iPhone
54,retained,12,10,21.82921966,3365,26,0,2900.68855,1698.26517,14,7,Android
55,retained,20,18,110.2701495,724,70,0,4418.959399,1660.205994,7,3,iPhone
56,churned,150,127,187.7083464,2028,208,132,1396.461977,496.6208911,0,0,iPhone
57,retained,41,33,176.6673157,2257,86,9,2493.388001,1103.630334,5,4,Android
58,retained,44,35,125.7867257,2193,304,0,351.6341884,243.7716509,11,9,iPhone
59,retained,23,20,24.46477623,1924,169,0,11556.27748,4966.840886,27,26,Android
60,retained,49,42,68.3160358,1195,132,9,2702.164267,244.0548921,31,20,iPhone
61,retained,43,35,236.7279571,1756,29,53,1461.93937,954.0503968,8,8,iPhone
62,retained,69,56,81.66585433,1356,373,0,11014.87014,9143.800241,24,23,iPhone
63,retained,253,203,298.6736471,1546,0,88,4695.169432,2146.467081,6,1,iPhone
64,retained,4,3,113.8187866,1830,233,0,9624.439528,3213.049582,6,0,Android
65,retained,12,12,478.4156826,1796,69,35,6931.284783,4643.478348,23,22,Android
66,retained,150,121,270.5629064,1347,0,0,1791.379149,253.7758791,30,26,iPhone
67,churned,36,29,50.08943164,1167,139,0,3215.221847,1594.991577,1,1,iPhone
68,retained,25,21,66.56667195,1619,147,11,3554.923388,2616.219443,19,18,iPhone
69,retained,36,30,132.3810261,2384,7,0,2485.994087,1197.510681,10,4,iPhone
70,churned,62,51,327.5779296,2285,381,0,5270.991501,2571.449828,16,16,Android
71,retained,248,200,248.3113428,2849,87,0,3377.481893,2032.029458,8,5,iPhone
72,retained,23,20,126.0890646,997,36,71,8054.086196,1506.312415,28,21,iPhone
73,retained,89,81,210.6642815,1189,0,68,5678.087584,1924.068701,29,22,iPhone
74,retained,142,113,324.7514369,3001,806,18,1966.355964,872.2037088,29,20,iPhone
75,retained,84,67,134.0383111,2868,177,55,2541.396988,1453.3281,22,21,iPhone
76,retained,30,28,73.91682979,1722,293,17,5574.224608,3842.845897,8,6,iPhone
77,,63,50,133.1041552,783,201,0,2649.015822,1517.20997,19,13,iPhone
78,retained,54,54,320.3440758,1285,0,77,2575.812329,987.0413442,29,20,Android
79,retained,97,84,209.2083212,1980,0,0,4471.194505,2104.72818,22,15,Android
80,,116,93,436.0601833,1584,283,62,4183.409514,3121.889952,18,15,iPhone
81,churned,26,23,83.16688568,2118,335,0,944.2046415,455.0263064,2,0,Android
82,retained,16,16,40.74102349,484,373,61,3628.581195,2134.416647,9,9,iPhone
83,retained,22,17,130.7650795,199,75,28,4626.208693,1499.578879,29,24,Android
84,retained,18,18,446.7149825,1115,228,0,4798.273478,3831.848313,31,25,iPhone
85,retained,16,16,20.26166523,960,279,58,5044.128761,3437.228784,24,23,Android
86,retained,57,47,72.55234081,1260,230,65,3644.416203,1020.232449,5,4,Android
87,retained,18,18,197.7664549,1517,200,9,3771.957224,1639.140405,2,2,iPhone
88,retained,306,246,320.2575311,2252,60,0,3595.562658,2420.119875,28,20,Android
89,retained,35,28,71.61167794,1987,534,0,2422.61532,1156.60925,18,13,Android
90,retained,105,105,286.8490491,2826,168,0,2237.801562,1056.262155,4,0,iPhone
91,retained,117,94,156.839706,3479,286,17,1761.21432,310.7107283,28,26,iPhone
92,retained,106,86,203.3186425,846,318,0,3737.339752,1055.547009,9,3,iPhone
93,retained,52,46,58.27949387,613,223,183,4742.485842,3196.94492,20,20,iPhone
94,retained,17,14,279.9773294,3440,95,56,2674.811414,229.6819476,2,2,iPhone
95,churned,116,95,192.6382907,359,142,0,4032.868589,2695.612209,1,0,iPhone
96,churned,305,244,638.0401516,400,171,164,1896.894034,960.975077,19,13,Android
97,retained,0,0,559.5471117,2879,0,0,6668.84435,3511.370419,28,24,Android
98,,78,64,583.4927887,3414,0,0,1811.140893,642.1891216,12,11,Android
99,retained,34,34,67.80586996,1403,27,24,6254.94844,3742.935943,1,1,iPhone
